IDTime;ReadableTime;High;Low;Close;BarType;HAType;BBSignal;BBBreakoutSignal;StochMain;StochSignal;MarketMov;LabelStrategy
1274832000;2010.05.26 00:00;1.07385;1.06617;1.07232;1;2;0;0;77.73915;84.83772999999999;0;2
1274846400;2010.05.26 04:00;1.07307;1.0691;1.0728;4;4;0;0;73.02075000000001;78.00112;0;2
1274860800;2010.05.26 08:00;1.07436;1.06563;1.06779;2;2;0;0;61.86446;70.87479;0;2
1274875200;2010.05.26 12:00;1.0687;1.06315;1.06521;2;2;1;0;48.6313;61.17217;0;0
1274889600;2010.05.26 16:00;1.06829;1.05798;1.06124;2;2;1;0;33.0543;47.85002;0;0
1274904000;2010.05.26 20:00;1.0718;1.06085;1.06991;1;4;1;0;33.7468;38.47747;0;1
1274918400;2010.05.27 00:00;1.07051;1.06593;1.06966;4;1;0;0;29.92493;32.24201;0;0
1274932800;2010.05.27 04:00;1.07041;1.06124;1.06228;2;4;0;0;19.20795;27.62656;0;0
1274947200;2010.05.27 08:00;1.06265;1.05371;1.05408;2;2;0;0;15.30733;21.48007;0;0
1274961600;2010.05.27 12:00;1.05941;1.05132;1.05705;1;2;0;0;17.66134;17.39221;0;1
1274976000;2010.05.27 16:00;1.0578;1.04896;1.0505;2;2;0;0;17.56723;16.8453;0;0
1274990400;2010.05.27 20:00;1.05233;1.04799;1.04962;4;2;0;0;10.46825;15.23227;0;0
1275004800;2010.05.28 00:00;1.05152;1.04797;1.04797;4;2;0;0;3.31049;10.44866;0;0
1275019200;2010.05.28 04:00;1.05212;1.04786;1.04911;4;4;0;0;3.31692;5.69856;0;0
1275033600;2010.05.28 08:00;1.0527;1.04528;1.04566;2;2;0;0;3.17522;3.26754;0;0
1275048000;2010.05.28 12:00;1.05055;1.04435;1.04778;4;2;0;0;2.41983;2.97066;0;0
1275062400;2010.05.28 16:00;1.05393;1.046;1.05178;1;4;2;0;7.26906;4.28804;0;1
1275076800;2010.05.28 20:00;1.05592;1.04972;1.05448;1;1;2;0;15.14899;8.279299999999999;0;0
1275264000;2010.05.31 00:00;1.05508;1.05029;1.05098;4;4;2;0;21.46181;14.62662;0;0
1275278400;2010.05.31 04:00;1.05105;1.0476;1.04827;2;2;0;0;25.90443;20.83841;0;0
1275292800;2010.05.31 08:00;1.05073;1.04797;1.04968;4;4;0;0;35.79714;27.72113;0;0
1275307200;2010.05.31 12:00;1.05047;1.04129;1.04426;2;2;1;0;39.97919;33.89358;0;0
1275321600;2010.05.31 16:00;1.04949;1.04399;1.04618;4;2;1;0;37.28229;37.6862;0;0
1275336000;2010.05.31 20:00;1.04648;1.04238;1.04313;2;2;0;0;22.805;33.35549;0;0
1275350400;2010.06.01 00:00;1.0467;1.04194;1.0451;4;4;0;0;17.30833;25.79854;0;0
1275364800;2010.06.01 04:00;1.04682;1.04252;1.0441;4;4;0;0;14.02622;18.04651;0;0
1275379200;2010.06.01 08:00;1.05506;1.04323;1.0519;1;1;2;0;20.7017;17.34542;0;1
1275393600;2010.06.01 12:00;1.05613;1.0469;1.05215;4;1;2;0;35.04022;23.25605;0;0
1275408000;2010.06.01 16:00;1.05223;1.04212;1.04804;2;4;1;0;40.41614;32.05269;0;0
1275422400;2010.06.01 20:00;1.05579;1.04813;1.05437;1;1;1;0;58.23464;44.56367;0;1
1275436800;2010.06.02 00:00;1.05551;1.0499;1.05087;2;1;2;0;67.46283;55.3712;0;0
1275451200;2010.06.02 04:00;1.05713;1.05024;1.05362;1;4;2;0;82.66519;69.45422000000001;0;0
1275465600;2010.06.02 08:00;1.05511;1.04972;1.05228;4;4;2;0;83.4127;77.84690000000001;0;0
1275480000;2010.06.02 12:00;1.0549;1.04451;1.04662;2;2;1;0;71.67315000000001;79.25035;0;0
1275494400;2010.06.02 16:00;1.04705;1.03707;1.0407;2;2;1;0;59.70972;71.59851999999999;0;0
1275508800;2010.06.02 20:00;1.04279;1.03812;1.03851;4;2;1;0;40.66921;57.35069;0;0
1275523200;2010.06.03 00:00;1.03965;1.03784;1.03838;4;2;0;0;28.31225;42.89706;0;0
1275537600;2010.06.03 04:00;1.0389;1.03548;1.03553;2;2;0;0;13.59031;27.52392;0;0
